quantity,value,uncertainty,unit
electron_mass_energy_equivalent_in_MeV,0.5109989461,3.1e-09,MeV
electron_mass_in_u,5.48579909070e-4,1.5999999999999998e-14,u
electron_molar_mass,5.48579909070e-7,1.6e-17,kg mol^-1
electron_muon_mag_mom_ratio,206.7669880,4.6e-06, 
electron_muon_mass_ratio,4.83633170e-3,1.1000000000000001e-10, 
electron_neutron_mag_mom_ratio,960.92050,0.00022999999999999998, 
electron_neutron_mass_ratio,5.4386734428e-4,2.7e-13, 
electron_proton_mag_mom_ratio,-658.2106866,2e-06, 
electron_proton_mass_ratio,5.44617021352e-4,5.2e-14, 
electron_tau_mass_ratio,2.87592e-4,2.6e-08, 
electron_to_alpha_particle_mass_ratio,1.370933554798e-4,4.5e-15, 
electron_to_shielded_helion_mag_mom_ratio,864.058257,1e-05, 
electron_to_shielded_proton_mag_mom_ratio,-658.2275971,7.2000000000000005e-06, 
electron_triton_mass_ratio,1.819200062203e-4,8.4e-15, 
electron_volt,1.6021766208e-19,9.799999999999999e-28,J
electron_volt_atomic_mass_unit_relationship,1.0735441105e-9,6.6e-18,u
electron_volt_hartree_relationship,3.674932248e-2,2.3e-10,E_h
electron_volt_hertz_relationship,2.417989262e14,1500000.0,Hz
electron_volt_inverse_meter_relationship,8.065544005e5,0.005,m^-1
electron_volt_joule_relationship,1.6021766208e-19,9.799999999999999e-28,J
electron_volt_kelvin_relationship,1.16045221e4,0.0067,K
electron_volt_kilogram_relationship,1.782661907e-36,1.0999999999999999e-44,kg
elementary_charge,1.6021766208e-19,9.799999999999999e-28,C
elementary_charge_over_h,2.417989262e14,1500000.0,A J^-1
Faraday_constant,96485.33289,0.00059,C mol^-1
Faraday_constant_for_conventional_electric_current,96485.3251,0.0012,C_90 mol^-1
Fermi_coupling_constant,1.1663787e-5,5.9999999999999995e-12,GeV^-2
fine_structure_constant,7.2973525664e-3,1.6999999999999998e-12, 
first_radiation_constant,3.741771790e-16,4.5999999999999995e-24,W m^2
first_radiation_constant_for_spectral_radiance,1.191042953e-16,1.4999999999999998e-24,W m^2 sr^-1
hartree_atomic_mass_unit_relationship,2.9212623197e-8,1.3e-17,u
hartree_electron_volt_relationship,27.21138602,1.7e-07,eV
Hartree_energy,4.359744650e-18,5.400000000000001e-26,J
Hartree_energy_in_eV,27.21138602,1.7e-07,eV
hartree_hertz_relationship,6.579683920711e15,39000.0,Hz
hartree_inverse_meter_relationship,2.194746313702e7,0.00013000000000000002,m^-1
hartree_joule_relationship,4.359744650e-18,5.400000000000001e-26,J
hartree_kelvin_relationship,3.1577513e5,0.18,K
hartree_kilogram_relationship,4.850870129e-35,5.999999999999999e-43,kg
helion_electron_mass_ratio,5495.88527922,2.7e-07, 
helion_g_factor,-4.255250616,5e-08, 
helion_mag_mom,-1.074617522e-26,1.3999999999999998e-34,J T^-1
helion_mag_mom_to_Bohr_magneton_ratio,-1.158740958e-3,1.4e-11, 
helion_mag_mom_to_nuclear_magneton_ratio,-2.127625308,2.5e-08, 
helion_mass,5.006412700e-27,6.199999999999999e-35,kg
helion_mass_energy_equivalent,4.499539341e-10,5.5e-18,J
helion_mass_energy_equivalent_in_MeV,2808.391586,1.7e-05,MeV
helion_mass_in_u,3.01493224673,1.2e-10,u
helion_molar_mass,3.01493224673e-3,1.2e-13,kg mol^-1
helion_proton_mass_ratio,2.99315267046,2.9e-10, 
hertz_atomic_mass_unit_relationship,4.4398216616e-24,2e-33,u
hertz_electron_volt_relationship,4.135667662e-15,2.4999999999999998e-23,eV
hertz_hartree_relationship,1.5198298460088e-16,9e-28,E_h
hertz_inverse_meter_relationship,3.335640951e-9,0.0,m^-1
hertz_joule_relationship,6.626070040e-34,8.1e-42,J
hertz_kelvin_relationship,4.7992447e-11,2.8000000000000005e-17,K
hertz_kilogram_relationship,7.372497201e-51,9.100000000000001e-59,kg
inverse_fine_structure_constant,137.035999139,3.1e-08, 
inverse_meter_atomic_mass_unit_relationship,1.33102504900e-15,6.1e-25,u
inverse_meter_electron_volt_relationship,1.2398419739e-6,7.6e-15,eV
inverse_meter_hartree_relationship,4.556335252767e-8,2.7e-19,E_h
inverse_meter_hertz_relationship,299792458,0.0,Hz
inverse_meter_joule_relationship,1.986445824e-25,2.3999999999999997e-33,J
inverse_meter_kelvin_relationship,1.43877736e-2,8.3e-09,K
inverse_meter_kilogram_relationship,2.210219057e-42,2.7e-50,kg
inverse_of_conductance_quantum,12906.4037278,2.8999999999999998e-06,ohm
Josephson_constant,483597.8525e9,3000000.0,Hz V^-1
joule_atomic_mass_unit_relationship,6.700535363e9,82.0,u
joule_electron_volt_relationship,6.241509126e18,38000000000.0,eV
joule_hartree_relationship,2.293712317e17,2800000000.0,E_h
joule_hertz_relationship,1.509190205e33,1.9e+25,Hz
joule_inverse_meter_relationship,5.034116651e24,6.2e+16,m^-1
joule_kelvin_relationship,7.2429731e22,4.2e+16,K
joule_kilogram_relationship,1.112650056e-17,0.0,kg
kelvin_atomic_mass_unit_relationship,9.2510842e-14,5.2999999999999996e-20,u
kelvin_electron_volt_relationship,8.6173303e-5,5e-11,eV
kelvin_hartree_relationship,3.1668105e-6,1.8000000000000002e-12,E_h
kelvin_hertz_relationship,2.0836612e10,12000.0,Hz
kelvin_inverse_meter_relationship,69.503457,4e-05,m^-1
kelvin_joule_relationship,1.38064852e-23,7.9e-30,J
kelvin_kilogram_relationship,1.53617865e-40,8.799999999999999e-47,kg
kilogram_atomic_mass_unit_relationship,6.022140857e26,7.4e+18,u
kilogram_electron_volt_relationship,5.609588650e35,3.4e+27,eV
kilogram_hartree_relationship,2.061485823e34,2.5e+26,E_h
kilogram_hertz_relationship,1.356392512e50,1.7000000000000002e+42,Hz
kilogram_inverse_meter_relationship,4.524438411e41,5.6e+33,m^-1
kilogram_joule_relationship,8.987551787e16,0.0,J
kilogram_kelvin_relationship,6.5096595e39,3.7000000000000004e+33,K
lattice_parameter_of_silicon,543.1020504e-12,8.9e-18,m
Loschmidt_constant_273.15_K_100_kPa,2.6516467e25,1.5e+19,m^-3
